source_table,source_file,ranking_type,category,fenabrave_segment,rank,fenabrave_brand,fenabrave_model,registrations_month,registrations_accumulated,fipe_vehicle_id,fipe_brand,fipe_model,slug,segment,latest_price,similarity_score,match_status,candidate_rank,candidate_count
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,COMERCIAIS LEVES,,4,TOYOTA,HILUX,,19479,2743,Toyota,Hilux 4x2 2.8 Diesel,toyota-hilux-4x2-2-8-diesel-1999-diesel,picape,31767.00,0.898400,ambiguous,1,423
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,17,HONDA,HR-V,,18342,15625,Honda,HR-V Touring 1.5 Flex TB 16V 5p Aut.,honda-hr-v-touring-1-5-flex-tb-16v-5p-aut-0km-flex,perua,212565.00,0.858400,ambiguous,1,50
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,18,HYUNDAI,HB20S,,17349,16277,Hyundai,HB20S 1 Million 1.6 Flex 16V Aut. 4p,hyundai-hb20s-1-million-1-6-flex-16v-aut-4p-2019-flex,sedan,69405.00,0.898400,ambiguous,1,123
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,19,JEEP,RENEGADE,,16522,17006,Jeep,Renegade 75 Anos 2.0 4X4 TB Diesel Aut.,jeep-renegade-75-anos-2-0-4x4-tb-diesel-aut-2017-diesel,suv,77915.00,0.898400,ambiguous,1,104
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,20,GM,ONIX PLUS,,16446,,,,,,,0.000000,no_match,1,0
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,21,GWM,HAVAL H6,,16196,30443,GWM,Haval H6 35 1.5 AWD,gwm-haval-h6-35-1-5-awd-0km-hibrido,suv,288800.00,0.898400,ambiguous,1,28
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,22,TOYOTA,COROLLA CROSS,,15492,3563,Toyota,Corolla Cross XRX 1.8 16V Aut. (Híbrido),toyota-corolla-cross-xrx-1-8-16v-aut-hibrido-0km-hibrido,suv,218392.00,0.858400,ambiguous,1,34
fenabrave_segment_model_rankings,ranking_segmentos_modelos_2026.csv,segment_model_accumulated,,Pick-up's Pequenas,1,FIAT,STRADA,15395,68730,1027,Fiat,Strada 1.4 mpi Fire Flex 8V CE,fiat-strada-1-4-mpi-fire-flex-8v-ce-2012-flex,picape,42174.00,0.898400,ambiguous,1,277
fenabrave_model_rankings,ranking_emplacamentos_maio_2026.csv,model_month,COMERCIAIS LEVES,,1,FIAT,STRADA,15395,,1027,Fiat,Strada 1.4 mpi Fire Flex 8V CE,fiat-strada-1-4-mpi-fire-flex-8v-ce-2012-flex,picape,42174.00,0.898400,ambiguous,1,277
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,23,NISSAN,KICKS,,14328,21792,Nissan,KICKS Platinum 1.0 Turbo Flex Aut.,nissan-kicks-platinum-1-0-turbo-flex-aut-0km-flex,suv,195866.00,0.858400,ambiguous,1,65
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,24,HONDA,WR-V,,14092,15599,Honda,WR-V EXL 1.5 Flexone 16V 5p Aut.,honda-wr-v-exl-1-5-flexone-16v-5p-aut-0km-flex,hatch,153561.00,0.858400,ambiguous,1,13
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,COMERCIAIS LEVES,,5,FORD,RANGER,,14022,4202,Ford,Ranger 2.5 4x4 CD TB Diesel,ford-ranger-2-5-4x4-cd-tb-diesel-2001-diesel,picape,40492.00,0.898400,ambiguous,1,489
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,25,VW,VIRTUS,,13243,11236,VW - VolksWagen,VIRTUS TSI 1.0 Flex 12V 4p Aut.,vw-volkswagen-virtus-tsi-1-0-flex-12v-4p-aut-0km-flex,sedan,127911.00,0.898400,ambiguous,1,54
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,26,BYD,DOLPHIN,,12536,30354,BYD,Dolphin Plus (Elétrico),byd-dolphin-plus-eletrico-0km-eletrico,,184848.00,0.858400,ambiguous,1,15
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,27,NISSAN,KAIT,,12255,21800,Nissan,Kait Exclusive 1.6 16v Aut.,nissan-kait-exclusive-1-6-16v-aut-0km-flex,,152842.00,0.858400,ambiguous,1,12
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,28,CAOA CHERY,TIGGO 7,,12092,30266,Caoa Chery,Tiggo 7 PRO 1.5 Turbo (Híbrido)  ,caoa-chery-tiggo-7-pro-1-5-turbo-hibrido-0km-hibrido,suv,220745.00,0.898400,ambiguous,1,63
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,29,CAOA CHERY,TIGGO 5X,,11924,30295,Caoa Chery,Tiggo 5X PRO Max Drive1.5 TB (Híbrido),caoa-chery-tiggo-5x-pro-max-drive1-5-tb-hibrido-0km-hibrido,suv,160661.00,0.898400,ambiguous,1,63
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,COMERCIAIS LEVES,,6,GM,S10,,11796,8450,GM - Chevrolet,S10 Pick-Up Z71 2.8 TDI 4x4 CD Dies. Aut,gm-chevrolet-s10-pick-up-z71-2-8-tdi-4x4-cd-dies-aut-0km-diesel,picape,325290.00,0.858400,ambiguous,1,457
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,30,TOYOTA,YARIS CROSS,,11738,3631,Toyota,YARIS Cross XRX 1.5 16V 5p Aut. (Híbrido),toyota-yaris-cross-xrx-1-5-16v-5p-aut-hibrido-0km-hibrido,suv,191962.00,0.858400,ambiguous,1,10
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,31,TOYOTA,COROLLA,,11074,3594,Toyota,Corolla GR Circuit 1.6 Turbo 4x4 Mec,toyota-corolla-gr-circuit-1-6-turbo-4x4-mec-0km-gasolina,sedan,461990.00,0.858400,ambiguous,1,250
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,COMERCIAIS LEVES,,7,FIAT,FIORINO,,10793,2493,Fiat,Fiorino Endurance 1.3 Flex 8V 2p,fiat-fiorino-endurance-1-3-flex-8v-2p-0km-flex,furgao,123364.00,0.858400,ambiguous,1,109
fenabrave_segment_model_rankings,ranking_segmentos_modelos_2026.csv,segment_model_accumulated,,Hatch Pequenos,1,VW,POLO,10523,43153,11193,VW - VolksWagen,Polo 1.0 TSI Flex 12V 5p,vw-volkswagen-polo-1-0-tsi-flex-12v-5p-0km-flex,hatch,107840.00,0.898400,ambiguous,1,192
fenabrave_model_rankings,ranking_emplacamentos_maio_2026.csv,model_month,AUTOMÓVEIS,,1,VW,POLO,10523,,11193,VW - VolksWagen,Polo 1.0 TSI Flex 12V 5p,vw-volkswagen-polo-1-0-tsi-flex-12v-5p-0km-flex,hatch,107840.00,0.898400,ambiguous,1,192
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,32,GEELY,EX2,,10397,29892,GEELY,EX2 MAX ,geely-ex2-max-0km-eletrico,,137866.00,0.858400,ambiguous,1,4
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,COMERCIAIS LEVES,,8,RAM,RAMPAGE,,10016,29733,RAM,RAMPAGE R/T HURRICANE 2.0 TURBO CD 4X4 Aut.,ram-rampage-r-t-hurricane-2-0-turbo-cd-4x4-aut-0km-flex,picape,269990.00,0.858400,ambiguous,1,37
fenabrave_model_rankings,ranking_emplacamentos_acumulado_2026.csv,model_accumulated,AUTOMÓVEIS,,33,FIAT,CRONOS,,9665,2357,Fiat,CRONOS 1.0 6V Flex,fiat-cronos-1-0-6v-flex-0km-flex,sedan,73643.00,0.898400,ambiguous,1,47
fenabrave_segment_model_rankings,ranking_segmentos_modelos_2026.csv,segment_model_accumulated,,Suv's,1,VW,T CROSS,9455,36295,11096,VW - VolksWagen,T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,vw-volkswagen-t-cross-200-tsi-1-0-flex-12v-5p-aut-0km-flex,suv,151882.00,0.898400,ambiguous,1,36
fenabrave_model_rankings,ranking_emplacamentos_maio_2026.csv,model_month,AUTOMÓVEIS,,2,VW,T CROSS,9455,,11096,VW - VolksWagen,T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,vw-volkswagen-t-cross-200-tsi-1-0-flex-12v-5p-aut-0km-flex,suv,151882.00,0.898400,ambiguous,1,36
fenabrave_model_rankings,ranking_emplacamentos_maio_2026.csv,model_month,AUTOMÓVEIS,,3,HYUNDAI,HB20,8357,,16275,Hyundai,HB20 1 Million 1.6 Flex 16V Aut.,hyundai-hb20-1-million-1-6-flex-16v-aut-2019-flex,hatch,68173.00,0.898400,ambiguous,1,314
fenabrave_segment_model_rankings,ranking_segmentos_modelos_2026.csv,segment_model_accumulated,,Hatch Pequenos,4,HYUNDAI,HB20,8357,32021,16275,Hyundai,HB20 1 Million 1.6 Flex 16V Aut.,hyundai-hb20-1-million-1-6-flex-16v-aut-2019-flex,hatch,68173.00,0.898400,ambiguous,1,314
fenabrave_model_rankings,ranking_emplacamentos_maio_2026.csv,model_month,AUTOMÓVEIS,,4,FIAT,ARGO,8274,,2191,Fiat,ARGO 1.0 6V Flex,fiat-argo-1-0-6v-flex-0km-flex,hatch,88890.00,0.898400,ambiguous,1,158
